,ticker,tradeDate,real_return,market_value,pred
564,600770,2014-07-31,0.0409292,11752000000.0,-0.41975436
404,600007,2014-07-31,0.04060434,10667122035.1,-0.42226678
216,600151,2014-07-31,0.04028436,10551518330.7,-0.48710793
667,600831,2014-07-31,0.0402439,4620196003.4,-0.3285896
808,600115,2014-07-31,0.03984064,31812414838.6,-0.36665645
443,600522,2014-07-31,0.03970588,9581257432.8,-0.4072873
438,600487,2014-07-31,0.03962848,6682165133.25,-0.41262043
614,600292,2014-07-31,0.03933949,10539457575.2,-0.8669147
209,600104,2014-07-31,0.03928791,179606480386.0,-0.5348309
725,600120,2014-07-31,0.03903654,6085900386.16,-0.45206016
466,600746,2014-07-31,0.039011699999999996,2356380965.88,-0.45595014
879,600767,2014-07-31,0.0386681,3174804794.42,-0.51291376
54,600650,2014-07-31,0.0385439,5152038399.38,-0.40500206
38,600375,2014-07-31,0.03831418,5801931832.68,-0.5397158
450,600620,2014-07-31,0.03821656,3593610224.7,-0.3477688
664,600738,2014-07-31,0.03814262,2224271790.81,-0.3747387
363,600733,2014-07-31,0.03788669,5684549220.0,-0.8522408
372,600798,2014-07-31,0.03783784,3223345805.4,-0.35287756
80,600895,2014-07-31,0.03750893,10918261327.5,-0.42237115
114,600277,2014-07-31,0.03733517,15588337670.0,-0.40820947
264,600719,2014-07-31,0.03698630000000001,1476788540.0,-0.3409937
183,601006,2014-07-31,0.03641457,106148891246.0,-0.5110498
64,600705,2014-07-31,0.03632361,33911565345.6,-0.5565441
397,601996,2014-07-31,0.0362117,3366788160.0,-0.36234185
326,600289,2014-07-31,0.03609342,5344707203.28,-0.38098153
69,600726,2014-07-31,0.0359116,7119364053.86,-0.76001084
156,600727,2014-07-31,0.03563941,1674206115.39,-0.2728184
803,600022,2014-07-31,0.03550296,10877339896.9,-0.37823164
62,600658,2014-07-31,0.03544776,6218644149.44,-0.35518038
679,600888,2014-07-31,0.03542673,3982012665.12,-0.3410065
256,600710,2014-07-31,0.03539823,2170562760.0,-0.27365494
618,600298,2014-07-31,0.03508772,5636713646.7,-0.49416837
231,600323,2014-07-31,0.03498779,7118895007.49,-0.43659604
634,600426,2014-07-31,0.03414634,7819725000.0,-0.43485978
344,600449,2014-07-31,0.03383459,3816984295.32,-0.36520946
760,600496,2014-07-31,0.03356643,4193946900.0,-0.36560157
526,600207,2014-07-31,0.03311258,3125700000.0,-0.25303704
23,600156,2014-07-31,0.0327553,2086954543.38,-0.49506873
496,601798,2014-07-31,0.03262643,4346515707.48,-0.34613782
431,600433,2014-07-31,0.03259613,12712190400.0,-0.3729091
503,600052,2014-07-31,0.03244275,4568174842.08,-0.42554072
795,601518,2014-07-31,0.03238866,2996604000.0,-0.3637211
726,600121,2014-07-31,0.03232759,4711193213.6,-0.39994594
96,601633,2014-07-31,0.03218466,93584931480.0,-0.7909092
712,600064,2014-07-31,0.03189655,5988138451.2,-0.4151845
65,600720,2014-07-31,0.03186638,5271011014.78,-0.34908554
243,600409,2014-07-31,0.03118503,8900354192.47,-0.3562411
