date,close
2015-06-09,10.433
2015-06-10,10.223
2015-06-11,10.055
2015-06-12,10.024
2015-06-15,9.803
2015-06-16,9.151
2015-06-17,9.561
2015-06-18,9.183
2015-06-19,8.29
2015-06-23,8.458
2015-06-24,8.658
2015-06-25,8.353
2015-06-26,7.565
2015-06-29,7.04
2015-06-30,7.596
2015-07-02,6.367
2015-07-03,5.726
2015-07-06,5.978
2015-07-07,6.388
2015-07-08,5.747
2015-07-09,6.325
2015-07-10,6.956
2015-07-13,7.607
2015-07-14,7.008
2015-07-15,6.32
2015-07-16,6.458
2015-07-17,6.902
2015-07-20,7.59
2015-07-21,7.707
2015-07-22,8.035
2015-07-23,8.194
2015-07-24,8.607
2015-07-27,7.749
2015-07-28,7.029
2015-07-29,7.601
2015-07-30,7.537
2015-07-31,7.347
2015-08-03,6.659
2015-08-04,7.294
2015-08-05,7.209
2015-08-06,7.135
2015-08-07,7.559
2015-08-10,8.31
2015-08-11,8.437
2015-08-12,8.416
2015-08-13,9.009
2015-08-14,9.115
2015-08-17,9.019
2015-08-18,8.12
2015-08-19,8.247
2015-12-09,7.421
2015-12-10,7.05
2015-12-11,6.86
2015-12-14,7.125
2015-12-15,6.976
2015-12-16,6.849
2015-12-17,6.923
2015-12-18,6.818
2015-12-21,6.796
2015-12-22,6.86
2015-12-23,6.754
2015-12-24,6.532
2015-12-28,6.479
2015-12-29,6.468
2015-12-30,6.394
2015-12-31,6.373
2016-01-04,5.738
2016-01-05,5.505
2016-01-06,5.706
2016-01-07,5.198
2016-01-08,5.293
2016-01-11,5.092
2016-01-12,5.103
2016-01-13,4.785
2016-01-14,4.806
2016-01-15,4.383
2016-01-18,4.489
2016-01-19,4.933
2016-01-20,4.891
2016-01-21,4.7
2016-01-22,4.806
2016-01-25,4.743
2016-01-26,4.266
2016-01-27,4.182
2016-01-28,3.906
2016-01-29,4.086
2016-02-01,3.991
2016-02-02,4.129
2016-02-03,4.171
2016-02-04,4.287
2016-02-05,4.16
2016-02-15,4.097
2016-02-16,4.287
2016-02-17,4.721
2016-02-18,4.647
2016-02-19,4.626
2016-02-22,4.743
2016-02-23,4.637
2016-02-24,4.753
2016-02-25,4.287
2016-02-26,4.277
2016-02-29,4.129
2016-03-01,4.224
2016-03-02,4.52
2016-03-03,4.573
2016-03-04,4.584
2016-03-07,4.637
2016-03-08,4.616
2016-03-09,4.467
2016-03-10,4.319
2016-03-11,4.309
2016-03-14,4.425
2016-03-15,4.436
2016-03-16,4.414
2016-03-17,4.478
2016-03-18,4.541
2016-03-21,4.658
2016-03-22,4.594
2016-03-23,4.584
2016-03-24,4.499
2016-03-29,4.33
2016-03-30,4.446
2016-03-31,4.446
2016-04-01,4.436
2016-04-05,4.584
2016-04-06,4.573
2016-04-07,4.478
2016-04-08,4.425
2016-04-11,4.51
2016-04-12,4.52
2016-04-13,4.605
2016-04-14,4.626
2016-04-15,4.563
2016-04-18,4.446
2016-04-19,4.436
2016-04-20,4.319
2016-04-21,4.34
2016-04-22,4.298
2016-04-25,4.256
2016-04-26,4.298
2016-04-27,4.256
2016-04-28,4.203
2016-04-29,4.213
2016-05-03,4.298
2016-05-04,4.298
2016-05-05,4.298
2016-05-06,4.185
2016-05-09,4.014
2016-05-10,4.089
2016-05-11,4.11
2016-05-12,4.078
2016-05-13,4.046
2016-05-16,4.078
2016-05-17,4.046
2016-05-18,3.981
2016-05-19,3.96
2016-05-20,3.96
2016-05-23,3.971
2016-05-24,3.917
2016-05-25,3.906
2016-05-26,3.896
2016-05-27,3.874
2016-05-30,3.896
2016-05-31,4.024
2016-06-01,4.014
2016-06-02,4.003
2016-06-03,4.132
2016-06-06,4.089
2016-06-07,4.046
2016-06-08,4.024
2016-06-13,3.896
2016-06-14,3.906
2016-06-15,3.971
2016-06-16,3.917
2016-06-17,3.949
2016-06-20,3.96
2016-06-21,3.917
2016-06-22,3.949
2016-06-23,3.906
2016-06-24,3.831
2016-06-27,3.874
2016-06-28,3.885
2016-06-29,3.992
2016-06-30,3.96
2016-07-04,4.014
2016-07-05,4.132
2016-07-06,4.078
2016-07-07,4.078
2016-07-08,4.035
2016-07-11,4.067
2016-07-12,4.164
2016-07-13,4.271
2016-07-14,4.218
2016-07-15,4.228
2016-07-18,4.185
2016-07-19,4.175
2016-07-20,4.142
2016-07-21,4.142
2016-07-22,4.089
2016-07-25,4.089
2016-07-26,4.132
2016-07-27,4.078
2016-07-28,4.11
2016-07-29,4.089
2016-08-01,4.003
2016-08-03,4.003
2016-08-04,3.992
2016-08-05,3.981
2016-08-08,4.035
2016-08-09,4.099
2016-08-10,4.067
2016-08-11,3.981
2016-08-12,4.078
2016-08-15,4.175
2016-08-16,4.218
2016-08-17,4.26
2016-08-18,4.346
2016-08-19,4.647
2016-08-22,4.464
2016-08-23,4.507
2016-08-24,4.518
2016-08-25,4.421
2016-08-26,4.529
2016-08-29,4.7
2016-08-30,4.657
2016-08-31,4.636
2016-09-01,4.518
2016-09-02,4.55
2016-09-05,4.475
2016-09-06,4.582
2016-09-07,4.7
2016-09-08,4.636
2016-09-09,4.625
2016-09-12,4.55
2016-09-13,4.497
2016-09-14,4.4
2016-09-19,4.432
2016-09-20,4.411
2016-09-21,4.411
2016-09-22,4.443
2016-09-23,4.411
2016-09-26,4.25
2016-09-27,4.228
2016-09-28,4.207
2016-09-29,4.239
2016-09-30,4.239
2016-10-11,4.389
2016-10-12,4.378
2016-10-13,4.443
2016-10-14,4.507
2016-10-17,4.411
2016-10-18,4.604
2016-10-19,4.55
2016-10-20,4.529
2016-10-24,4.797
2016-10-25,4.7
2016-10-26,4.679
2016-10-27,4.636
2016-10-28,4.507
2016-10-31,4.507
2016-11-01,4.529
2016-11-02,4.421
2016-11-03,4.593
2016-11-04,4.604
2016-11-07,4.604
2016-11-08,4.625
2016-11-09,4.561
2016-11-10,4.668
2016-11-11,4.926
2016-11-14,5.022
2016-11-15,4.947
2016-11-16,4.926
2016-11-17,5.419
2016-11-18,5.312
2016-11-21,5.462
2016-11-22,5.484
2016-11-23,5.355
2016-11-24,5.323
2016-11-25,5.484
2016-11-28,5.763
2016-11-29,6.01
2016-11-30,5.774
2016-12-01,5.817
2016-12-02,5.752
2016-12-05,5.258
2016-12-06,5.28
2016-12-07,5.344
2016-12-08,5.248
2016-12-09,5.355
2016-12-12,5.151
2016-12-13,5.14
2016-12-14,4.958
2016-12-15,4.99
2016-12-16,5.044
2016-12-19,5.022
2016-12-20,5.044
2016-12-21,5.162
2016-12-22,5.194
2016-12-23,5.119
2016-12-28,5.033
2016-12-29,5.055
2016-12-30,5.001
2017-01-03,5.033
2017-01-04,5.13
2017-01-05,5.13
2017-01-06,5.162
2017-01-09,5.205
2017-01-10,5.13
2017-01-11,5.473
2017-01-12,5.677
2017-01-13,5.57
2017-01-16,5.666
2017-01-17,5.602
2017-01-18,5.559
2017-01-19,5.441
2017-01-20,5.452
2017-01-23,5.462
2017-01-24,5.441
2017-01-25,5.473
2017-01-26,5.419
2017-02-03,5.419
2017-02-06,5.505
2017-02-07,5.473
2017-02-08,5.462
2017-02-09,5.591
2017-02-10,5.623
2017-02-13,5.645
2017-02-14,5.741
2017-02-15,5.57
2017-02-16,5.623
2017-02-17,5.462
2017-02-20,5.559
2017-02-21,5.57
2017-02-22,5.559
2017-02-23,5.505
2017-02-24,5.527
2017-02-27,5.43
2017-02-28,5.462
2017-03-01,5.452
2017-03-02,5.377
2017-03-03,5.355
2017-03-06,5.355
2017-03-07,5.301
2017-03-08,5.344
2017-03-09,5.28
2017-03-10,5.226
2017-03-13,5.269
2017-03-14,5.269
2017-03-15,5.28
2017-03-16,5.312
2017-03-17,5.258
2017-03-20,5.291
2017-03-21,5.355
2017-03-22,5.409
2017-03-23,5.344
2017-03-24,5.548
2017-03-27,5.441
2017-03-28,5.452
2017-03-29,5.516
2017-03-30,5.548
2017-03-31,5.452
2017-04-05,5.935
2017-04-06,5.977
2017-04-07,5.892
2017-04-10,5.87
2017-04-11,6.053
2017-04-12,5.881
2017-04-13,5.87
2017-04-18,5.741
2017-04-19,5.698
2017-04-20,5.763
2017-04-21,5.741
2017-04-24,5.462
2017-04-25,5.409
2017-04-26,5.355
2017-04-27,5.398
2017-04-28,5.419
2017-05-02,5.43
2017-05-04,5.613
2017-05-05,5.602
2017-05-08,5.591
2017-05-09,5.559
2017-05-10,5.419
2017-05-11,5.527
2017-05-12,5.484
2017-05-15,5.398
2017-05-16,5.387
2017-05-17,5.377
2017-05-18,5.291
2017-05-19,5.291
2017-05-22,5.216
2017-05-23,5.237
2017-05-24,5.205
2017-05-25,5.258
