Date,601318 CH EQUITY,2318 HK EQUITY
2016/1/27,29.22,33.8
2016/1/28,29.3,34.15
2016/1/29,30.18,34.95
2016/2/1,29.53,34.2
2016/2/2,29.97,34.05
2016/2/3,29.64,32.95
2016/2/4,29.71,33.3
2016/2/5,29.66,33.85
2016/2/15,29.43,32.55
2016/2/16,30.12,33.65
2016/2/17,30.04,32.85
2016/2/18,29.91,34.15
2016/2/19,29.92,33.8
2016/2/22,30.97,34.5
2016/2/23,30.5,34.05
2016/2/24,30.41,33.35
2016/2/25,28.96,32.35
2016/2/26,29.1,33.4
2016/2/29,29.01,32.9
2016/3/1,29.26,33.2
2016/3/2,30.18,34.5
2016/3/3,30.38,34.6
2016/3/4,31.55,35.8
2016/3/7,31.05,35.6
2016/3/8,31.3,34.9
2016/3/9,31.38,34.85
2016/3/10,30.74,34.7
2016/3/11,31.04,34.75
2016/3/14,31.11,35.3
2016/3/15,31.36,35
2016/3/16,32.13,35.3
2016/3/17,32,36.1
2016/3/18,32.12,36.95
2016/3/21,32.83,37.45
2016/3/22,32.1,37.4
2016/3/23,32.26,37.25
2016/3/24,31.8,36.3
2016/3/29,31.25,36.5
2016/3/30,31.99,37.15
2016/3/31,31.81,37.1
2016/4/1,31.92,36.1
2016/4/5,32,35.45
2016/4/6,31.74,35.25
2016/4/7,31.37,35
2016/4/8,31.16,35.05
2016/4/11,31.51,35.45
2016/4/12,31.55,35.4
2016/4/13,31.91,37.55
2016/4/14,32.02,38.25
2016/4/15,31.99,37.85
2016/4/18,31.79,37.4
2016/4/19,31.93,37.9
2016/4/20,32.21,37.4
2016/4/21,32.22,37.75
2016/4/22,32.42,37.5
2016/4/25,32.32,36.9
2016/4/26,32.39,37
2016/4/27,32.26,37.4
2016/4/28,32.19,37
2016/4/29,32.04,36.65
2016/5/3,31.91,35.8
2016/5/4,31.93,36
2016/5/5,31.95,35.45
2016/5/6,31.4,34.55
2016/5/9,31.16,34.45
2016/5/10,31.19,34.7
2016/5/11,31.25,34.3
2016/5/12,31.71,34.1
2016/5/13,31.72,33.6
2016/5/16,31.61,33.55
2016/5/17,31.51,34
2016/5/18,31.81,33.55
2016/5/19,31.83,33.25
2016/5/20,31.82,33.4
2016/5/23,31.83,33.15
2016/5/24,31.64,32.9
2016/5/25,31.61,33.6
2016/5/26,31.63,33.45
2016/5/27,31.6,33.65
2016/5/30,31.91,33.9
2016/5/31,32.72,34.7
2016/6/1,32.29,34.7
2016/6/2,32.21,34.9
2016/6/3,32.34,35.05
2016/6/6,32.11,34.95
2016/6/7,32.14,35.55
2016/6/8,32.15,35.6
2016/6/13,31.8,34.1
2016/6/14,31.98,33.85
2016/6/15,31.98,33.75
2016/6/16,31.97,33.35
2016/6/17,31.98,33.75
2016/6/20,32.12,34.15
2016/6/21,32.06,34.3
2016/6/22,32.08,34.45
2016/6/23,32,34.6
2016/6/24,31.55,33.6
2016/6/27,31.68,33.35
2016/6/28,31.85,33.35
