,ticker,tradeDate,real_return,market_value,pred
206,600133,2019-11-29,0.05511811,3829316700.0,1.0887327
332,600491,2019-11-29,-0.01615074,11366101940.0,1.1671368
335,600496,2019-11-29,0.07037037,4888202040.0,1.191198
416,600209,2019-11-29,0.09797297,1299473152.0,0.38019866
453,600970,2019-11-29,0.12057878,10820149036.0,1.1469896
464,601226,2019-11-29,0.06265664,4608450000.0,1.2164799
481,603316,2019-11-29,-0.07285429,2036865600.0,0.5905292
491,603778,2019-11-29,-0.042600900000000004,2230000000.0,0.7807361
497,603955,2019-11-29,0.07449664,1685190000.0,1.2010111
499,603959,2019-11-29,0.24691358,3556224000.0,0.96192884
580,601789,2019-11-29,0.05833333,3513888000.0,1.2052848
589,603098,2019-11-29,0.11919192,4752118800.0,1.1484946
600,600170,2019-11-29,0.01724138,30987303996.0,1.3446013
610,600193,2019-11-29,0.11527378,1476044310.0,1.2437133
639,600512,2019-11-29,0.02554745,4380993672.0,1.1597157
667,601800,2019-11-29,0.01777778,145572618600.0,0.7419854
671,603081,2019-11-29,-0.05994236,6971231735.0,-0.64592516
737,600502,2019-11-29,0.04909561,6660889974.0,1.1350832
762,600769,2019-11-29,0.01834862,2043625740.0,0.60462767
806,600248,2019-11-29,0.06024096,3809503705.0,1.0859948
877,603458,2019-11-29,0.04203057,3350555792.0,1.283207
884,603843,2019-11-29,0.0173913,2576019320.0,0.66062254
950,601117,2019-11-29,0.03370787,30732590000.0,1.4062806
957,601611,2019-11-29,0.02148997,18322500000.0,1.0542905
959,601618,2019-11-29,0.04477612,55539299456.0,1.0009536
999,603887,2019-11-29,0.17840152,5639893016.0,0.79950917
1007,600068,2019-11-29,0.08617886,28319381010.0,1.0859948
1080,603466,2019-11-29,0.08890522,3970731110.0,0.76898503
1095,603860,2019-11-29,0.08313539,1684339326.0,1.378548
1138,600477,2019-11-29,0.05223881,5773646744.0,1.0816848
1161,601390,2019-11-29,0.05132743,138825749980.0,1.0842471
1174,603388,2019-11-29,0.13585434,2062449690.0,1.146997
1199,603929,2019-11-29,0.14157303,2848356000.0,1.1234305
1216,600284,2019-11-29,0.03084416,5976776960.0,1.5174377
1288,603717,2019-11-29,0.0415677,2035924004.0,0.87378657
1339,600846,2019-11-29,0.07630058,5404186975.0,1.0859948
1368,603017,2019-11-29,0.0562249,2740143408.0,1.2091073
1369,603018,2019-11-29,0.0137931,4713381890.0,1.1102085
1399,603909,2019-11-29,0.00296296,1934794350.0,0.85525227
1428,601886,2019-11-29,-0.038410599999999996,8713077500.0,1.1350312
1436,603007,2019-11-29,0.07680251,2150658444.0,1.1083835
8,600100,2019-11-29,0.09899749,23651914020.0,0.71545774
28,600588,2019-11-29,0.02305476,69497090600.0,1.1461641
43,600850,2019-11-29,0.05271897,10273891155.0,0.9964583
47,600855,2019-11-29,0.03800676,4166535072.0,1.2236412
71,603138,2019-11-29,0.1002045,3089645766.0,1.2155573
161,603039,2019-11-29,0.05939877,8373577366.0,1.2519984
166,603106,2019-11-29,0.06272618,3319316000.0,1.0931687
194,603918,2019-11-29,0.00809353,2594577336.0,1.1310245
353,600800,2019-11-29,-0.05299145,3575935350.0,0.68382907
426,600570,2019-11-29,0.06757314,58477111227.0,1.2329409
427,600571,2019-11-29,0.05654102,3965906384.0,1.2232187
442,600797,2019-11-29,0.01717172,10361693430.0,0.3065232
545,600701,2019-11-29,-0.04761905,1955649528.0,0.2924385
571,601360,2019-11-29,0.13355834,140286502774.0,1.0663422
695,603881,2019-11-29,0.03972603,7686410900.0,1.2674776
788,603189,2019-11-29,0.15836177,3234720000.0,1.2166271
791,603528,2019-11-29,0.075,4012128000.0,1.2126241
794,603636,2019-11-29,0.101069,5419583505.0,1.0859948
823,600536,2019-11-29,0.05768663,33521466584.0,0.8097571
833,600756,2019-11-29,0.02681231,6527349832.0,1.0859948
893,603990,2019-11-29,0.07164917,3641286424.0,0.878669
908,600410,2019-11-29,0.02997003,10998421434.0,1.0842294
982,603508,2019-11-29,0.1378581,10128359787.0,1.1916989
1057,600728,2019-11-29,0.07200000000000001,14619623375.0,1.0847907
1081,603516,2019-11-29,0.05469184,4717373708.0,0.47524476
1099,603869,2019-11-29,-0.04487179,6296166240.0,1.3061932
1118,600271,2019-11-29,0.1220339,38460986375.0,1.2636583
1137,600476,2019-11-29,0.0465616,2248537200.0,1.0367068
1145,600654,2019-11-29,0.26666667,1924531500.0,0.8333451
1152,600718,2019-11-29,0.06572769999999999,13231243695.0,1.1867326
1170,603383,2019-11-29,0.10812453,7914195420.0,1.2395831
1176,603496,2019-11-29,0.15677966,3826341632.0,1.0159227
1223,600446,2019-11-29,0.11423931,15892336035.0,1.081289
1276,603660,2019-11-29,0.11223458,4982645296.0,1.118808
1326,600602,2019-11-29,0.03387704,10900356998.0,1.1938998
1338,600845,2019-11-29,-0.04748118,39392880362.0,1.3282968
1370,603019,2019-11-29,0.01795702,30583493333.0,0.824716
1376,603232,2019-11-29,0.19830446,3290000840.0,0.72743934
1424,601519,2019-11-29,0.14017341,13754884000.0,0.87848556
9,600101,2019-11-29,0.01015965,2903671303.0,1.0859948
37,600617,2019-11-29,-0.02053388,5282312219.0,1.14547
40,600780,2019-11-29,0.06024096,3806388300.0,1.3725348
48,600856,2019-11-29,0.18957346,2883640784.0,-1.2503585
103,600323,2019-11-29,0.02693208,13087789120.0,1.2079225
133,600886,2019-11-29,0.09677419,56799015021.0,0.9553803
140,601199,2019-11-29,0.03835616,3413517595.0,1.3185713
141,601200,2019-11-29,0.02209945,9918515106.0,1.1711488
150,601985,2019-11-29,0.02880658,75647989800.0,1.0659037
184,603588,2019-11-29,0.04856512,6106582024.56,1.2821051
189,603693,2019-11-29,0.05383023,5969880000.0,1.2732387
201,600008,2019-11-29,0.00304878,18648270096.0,1.0601225
204,600131,2019-11-29,0.12040701,8917973019.0,1.1432804
212,600310,2019-11-29,0.09438776,3244878000.0,1.1217613
223,600483,2019-11-29,0.03370787,13811306580.0,1.285922
249,601330,2019-11-29,0.01917546,12111316000.0,1.0647897
254,601991,2019-11-29,0.01239669,44786239410.0,1.0859948
276,603200,2019-11-29,0.04281843,1869169500.0,1.4183815
291,603689,2019-11-29,0.01919561,3675840000.0,1.2292101
301,600011,2019-11-29,-0.06844741,94031579466.0,1.1396544
349,600635,2019-11-29,0.08388521,13374529191.0,1.0870256
389,603568,2019-11-29,0.05763024,20426112855.0,1.2185875
433,600578,2019-11-29,0.02631579,20510072880.0,1.2737762
