date,signal,usdtwd,usdkrw
2018-06-20,1,-1113.15345415505,1109.98
2018-06-21,1,-1113.71329693472,1110.55
2018-06-22,-1,1115.09790822507,-1112
2018-06-25,-1,1118.57735103536,-1115.47
2018-06-26,-1,1121.62888797035,-1118.52
2018-06-27,-1,1126.68841063124,-1123.57
2018-06-28,1,-1124.51295483135,1121.35
2018-06-29,1,-1118.21485795374,1115.04
2018-07-02,-1,1122.01323822645,-1118.88
2018-07-03,1,-1118.18347558194,1114.99
2018-07-04,-1,1119.51209147674,-1116.4
2018-07-05,-1,1122.44611897775,-1119.33
2018-07-06,1,-1118.67300058088,1115.52
2018-07-09,-1,1116.4210169045,-1113.32
2018-07-10,1,-1117.34919808367,1114.22
2018-07-11,-1,1131.37883751227,-1128.23
2018-07-12,-1,1127.7186556368,-1124.58
2018-07-13,-1,1133.27611839872,-1130.14
2018-07-16,0,-0,0
2018-07-17,1,-1130.18793038408,1127
2018-07-18,-1,1134.31411385815,-1131.16
2018-07-19,-1,1138.71659638773,-1135.55
2018-07-20,1,-1131.15951111538,1127.9
2018-07-23,-1,1137.35496785932,-1134.19
2018-07-24,1,-1130.70441907212,1127.41
2018-07-25,1,-1121.10796175727,1117.79
2018-07-26,-1,1127.64956904349,-1124.38
2018-07-27,1,-1119.27521524508,1115.89
2018-07-30,-1,1121.10853905896,-1117.81
2018-07-31,1,-1116.61259158431,1113.25
2018-08-01,-1,1122.76705282359,-1119.49
2018-08-02,-1,1131.50769984307,-1128.21
2018-08-03,0,-0,0
2018-08-06,-1,1130.04437424006,-1126.7
2018-08-07,1,-1121.3919026157,1117.94
2018-08-08,1,-1120.67383816688,1117.26
2018-08-09,-1,1127.06822655585,-1123.7
2018-08-10,-1,1133.55854338904,-1130.17
2018-08-13,-1,1140.41345325721,-1137
2018-08-14,1,-1131.75197791227,1128.21
2018-08-15,-1,1137.41076863702,-1133.97
2018-08-16,1,-1130.76543135004,1127.25
2018-08-17,1,-1123.27099175172,1119.69
2018-08-20,1,-1121.70368581511,1118.17
2018-08-21,-1,1120.11453653589,-1116.61
2018-08-22,-1,1121.26633002777,-1117.76
2018-08-23,-1,1128.13283421983,-1124.62
2018-08-24,1,-1118.1287230981,1114.51
2018-08-27,1,-1112.68616164926,1109.05
2018-08-28,1,-1111.89104302096,1108.3
2018-08-29,-1,1114.18013741942,-1110.64
2018-08-30,-1,1118.34346143483,-1114.79
2018-08-31,-1,1119.15054385925,-1115.63
2018-09-03,1,-1115.69939362622,1112.1
2018-09-04,-1,1121.86694434249,-1118.36
2018-09-05,-1,1123.3839792885,-1119.84
2018-09-06,-1,1125.59081556987,-1122.06
2018-09-07,-1,1132.0766544011,-1128.57
2018-09-10,-1,1133.4482455697,-1129.9
2018-09-11,1,-1127.61419032613,1123.99
2018-09-12,1,-1123.83561701784,1120.25
2018-09-13,1,-1123.59478580122,1120.01
2018-09-14,0,-0,0
2018-09-17,-1,1129.88004114508,-1126.33
2018-09-18,1,-1126.43904753942,1122.82
2018-09-19,1,-1122.56932025617,1118.95
2018-09-20,1,-1120.74399470013,1117.13
2018-09-21,-1,1118.53710266215,-1114.95
2018-09-24,-1,1123.69887230197,-1120.12
2018-09-25,1,-1121.49447030722,1117.88
2018-09-26,1,-1119.18677726756,1115.55
2018-09-27,-1,1117.6816024833,-1114.15
2018-09-28,1,-1113.73851692482,1110.15
2018-10-01,0,-0,0
2018-10-02,-1,1122.08630280601,-1118.51
2018-10-03,-1,1129.05494626284,-1125.5
2018-10-04,-1,1137.11508171565,-1133.53
2018-10-05,1,-1135.78048387028,1132.13
2018-10-08,-1,1138.23320509053,-1134.63
2018-10-09,1,-1135.75970840582,1132.12
2018-10-10,-1,1146.89368042216,-1143.3
2018-10-11,1,-1139.26920750158,1135.55
2018-10-12,1,-1135.02160926098,1131.3
2018-10-15,-1,1135.55447863562,-1131.87
2018-10-16,1,-1127.02801050299,1123.24
2018-10-17,-1,1132.25368516026,-1128.53
2018-10-18,-1,1142.32600619413,-1138.6
2018-10-19,1,-1135.98026408016,1132.15
2018-10-22,1,-1137.05717162623,1133.25
2018-10-23,-1,1139.5637986969,-1135.78
2018-10-24,-1,1143.64158446297,-1139.86
2018-10-25,1,-1141.20613198294,1137.38
2018-10-26,-1,1144.06646808734,-1140.28
2018-10-29,-1,1147.53046516889,-1143.74
2018-10-30,1,-1143.53512998579,1139.69
2018-10-31,-1,1145.81004773474,-1142.02
2018-11-01,1,-1128.38303155518,1124.31
2018-11-02,1,-1122.0913771488,1118.1
2018-11-05,1,-1124.54616840906,1120.56
2018-11-06,1,-1125.90680778589,1121.93
2018-11-07,-1,1120.35865116985,-1116.43
2018-11-08,-1,1125.62177779016,-1121.68
2018-11-09,-1,1134.6110147307,-1130.69
2018-11-12,-1,1143.32572669132,-1139.35
2018-11-13,1,-1135.58294433243,1131.49
2018-11-14,-1,1136.73283784825,-1132.7
2018-11-15,1,-1132.00227805424,1127.93
2018-11-16,1,-1125.52617349411,1121.4
2018-11-19,0,-0,0
2018-11-20,-1,1134.29614737094,-1130.25
2018-11-21,-1,1132.16537807025,-1128.12
2018-11-22,-1,1136.12081762861,-1132.1
2018-11-23,1,-1137.56461519629,1133.5
2018-11-26,1,-1133.8659064083,1129.79
2018-11-27,1,-1134.57811615267,1130.51
2018-11-28,1,-1127.61003640914,1123.48
2018-11-29,1,-1121.69128580795,1117.55
2018-11-30,1,-1124.55219876209,1120.44
2018-12-03,1,-1113.74378414458,1109.54
2018-12-04,1,-1115.67814041663,1111.51
2018-12-05,-1,1118.29380038017,-1114.16
2018-12-06,-1,1122.82470736412,-1118.7
2018-12-07,-1,1128.99280665006,-1124.85
2018-12-10,-1,1132.49171047575,-1128.37
2018-12-11,-1,1133.63016067915,-1129.53
2018-12-12,1,-1128.99308970195,1124.82
2018-12-13,1,-1129.71288240471,1125.55
2018-12-14,-1,1136.79146287272,-1132.7
2018-12-17,1,-1133.73135478748,1129.55
2018-12-18,1,-1131.70489249797,1127.53
2018-12-19,0,-0,0
2018-12-20,1,-1126.98734728966,1122.78
2018-12-21,-1,1133.19828271309,-1129.04
2018-12-24,1,-1129.11480455716,1124.87
2018-12-25,-1,1129.59565559582,-1125.4
2018-12-26,1,-1127.87264617259,1123.66
2018-12-27,1,-1124.31969147324,1120.08
2018-12-28,-1,1121.14366655825,-1117.05
2018-12-31,1,-1118.47407633735,1114.3
2019-01-01,0,-0,0
2019-01-02,1,-1124.25381713043,1120.12
2019-01-03,-1,1130.0069087843,-1125.89
2019-01-04,1,-1121.06781740153,1116.85
2019-01-07,0,-0,0
2019-01-08,-1,1126.96208181512,-1122.83
2019-01-09,1,-1122.38779140273,1118.18
2019-01-10,1,-1121.98274321933,1117.79
2019-01-11,-1,1122.41144130465,-1118.23
2019-01-14,-1,1125.97256148775,-1121.8
2019-01-15,-1,1127.02282693083,-1122.85
2019-01-16,1,-1124.98047916603,1120.78
2019-01-17,-1,1126.88145189301,-1122.7
2019-01-18,-1,1130.24829643114,-1126.08
2019-01-21,-1,1138.52957474899,-1134.4
2019-01-22,1,-1135.99933545682,1131.77
2019-01-23,1,-1130.7208567539,1126.46
2019-01-24,-1,1132.95540868018,-1128.75
2019-01-25,1,-1123.09574193901,1118.78
2019-01-28,1,-1123.15789002448,1118.87
2019-01-29,1,-1122.27789693551,1118.01
2019-01-30,1,-1115.3741970219,1111.04
2019-01-31,-1,1116.66408205959,-1112.4
2019-02-01,-1,1123.65841161534,-1119.4
2019-02-04,0,-0,0
2019-02-05,1,-1121.58567813102,1117.27
2019-02-06,-1,1126.08690997143,-1121.8
2019-02-07,-1,1129.10051591285,-1124.81
2019-02-08,1,-1128.82456241359,1124.5
2019-02-11,0,-0,0
2019-02-12,1,-1125.63732316291,1121.29
2019-02-13,-1,1129.88924164435,-1125.59
2019-02-14,-1,1130.71816630184,-1126.4
2019-02-15,-1,1130.76461284651,-1126.44
2019-02-18,0,-0,0
2019-02-19,1,-1127.27607796288,1122.92
2019-02-20,0,-0,0
2019-02-21,-1,1129.94741940049,-1125.63
2019-02-22,1,-1127.33541612975,1122.99
2019-02-25,1,-1120.47893135663,1116.06
2019-02-26,1,-1119.97532438597,1115.61
2019-02-27,-1,1122.55324698471,-1118.22
2019-02-28,-1,1130.19440719141,-1125.9
2019-03-01,-1,1132.02129096802,-1127.67
2019-03-04,1,-1130.83112035537,1126.46
