date,A00700,A01299,A00005,A00939,A02318,A09988,A00388,A01810,A00941,A01398,A03988,A02269,A00669,A00002,A00883,A02628,A00001,A00003,A00016,A00027,A01109,A02313,A02319,A01177,A00175,A01113,A00011,A01928,A02382,A01093,A02388,A00386,A00688,A02007,A00066,A00017,A00006,A00288,A00857,A00012,A00267,A01044,A00101,A01997,A03328,A00762,A02018,A01038,A00019
2016-05-16,0,0,0,0.022849383557384,0.0108361558837174,NaN,0.00914292657929505,NaN,0,0,0.0142063096874697,NaN,0,0,0.00438495803061585,0.0168164633825798,0,0,0,0,0,0.0328003950363878,0,0.0514272655403231,0,0.0232699779617133,0.0245888554377326,0.114997906418915,0.0951785048524705,0,0.0254240429756645,0,0.0253295337867843,0.0139093071490729,0.0192312820462551,0.0974503379823666,0,0,0.118700860617893,0,0.098255489570549,0,0,NaN,0.0429576784942277,0.104409459006706,0,0,0.0338329060018766
2016-05-17,0,0,0,0.000566671912422056,0,NaN,0.0105740854275007,NaN,0,0,0,NaN,0,0,0,0,0.0442650774194761,0.0311550447248462,0,0.0387501177831106,0.00695917937472163,0.0139970842250418,0.121227539424692,0,0,0.0409166852717818,0.0418092718927733,0.0027928422593222,0.00115547913280785,0,0,0,0,0,0.0139970842250418,0.0227469118767921,0.148604015055904,0.0139970842250418,0,0,0.0703261028988511,0.0185602361828915,0.0228731720160662,NaN,0.0139970842250418,0.207515744334076,0,0.08790917975591,0.0253043063558868
2016-05-18,0.0100686408078689,0.0337445403364216,0.0292814668426993,0.0197750389094549,0.0438843695435724,NaN,0.0128024006874869,NaN,0.0275931914447199,0.0571641210794786,0.0219186089010483,NaN,0.00699960299734355,0,0,0.0029552873022096,0.106027854369696,0,0,0,0.0157016510806231,0,0.0541304488361134,0,0,0.140919001041115,0,0.0310716140025811,0,0,0.0237028298558483,0.00896502778486617,0.0237028298558483,0.0222483341190231,0,0.09176966392892,0,0.0325060641697837,0.0194465822898954,0,0.0464117475930572,0,0,NaN,0.0217000025340635,0.0431126342209089,0.0523964454653528,0,0
2016-05-19,0.210258287465726,0,0,0.0283663723128149,0.042891409397682,NaN,0.0322803577982304,NaN,0,0.0197161758898876,0.0289573795218344,NaN,0.0367513458156654,0,0.0213103778478757,0.0173219250942567,0.0153529374825553,0,0.0088895974245183,0,0.0229291059898324,0,0.0076027015648545,0.135932955612042,0,0,0.020187954029564,0.0446430597833668,0.0120330821726299,0,0.0158930096382381,0,0.029565769295826,0.0697781100052978,0.00358917875174573,0,0,0.047634354913675,0.0342652933235976,0.029565769295826,0,0,0,NaN,0.00130060092679199,0.0456609635514096,0,0.0173219250942556,0
2016-05-20,0.0664256379173623,0.0151521455850619,0.0319330126696888,0,0.0139569172544119,NaN,0.00999466663598146,NaN,0.00762515524996114,0.000794693743002809,0,NaN,0,0,0.0210196816298805,0,0.0179488621222952,0.00208463424577537,0,0,0.0148883902043135,0.0575896734949101,0.00523494326896613,0,0,0.00608373715960739,0,0.0208369209611112,0,0,0,0,0.0304781522091009,0.0293523090131699,0.540715265844067,0,0,0,0,0,0,0.107885200791332,0,NaN,0,0,0,0,0
2016-05-23,0,0.0347471983973201,0.0432630978012373,0.0066480993815899,0.0300238062148635,NaN,0.0243874888138484,NaN,0,0.0125465417641029,0.0236839733435037,NaN,0,0,0.0317791792627121,0,0,0.0258736140180958,0.0251110360458764,0.0200305756128905,0.0486600332653439,0,0.109139192851637,0.139840242475976,0,0,0.0463619172665957,0.0146335468649623,0,0,0,0.0466549259760211,0.0238510348171954,0,0,0.0899345086676828,0,0.0236839733435037,0.0311443521304707,0.00720131958469132,0.0566058123791323,0.0596053662607205,0,NaN,0,0.00914489697747027,0,0,0.0154442664825564
2016-05-24,0,0.0164741553778689,0.00787503178778715,0.0524375182448517,0.0539834546576845,NaN,0.0491837867115086,NaN,0.0604376181165561,0,0.0438324231694173,NaN,0,0,0,0.0566659378789073,0.0164741553778689,0,0.064142672576485,0.0164741553778689,0.0164741553778689,0,0,0.189173220812021,0.0380615385571376,0,0,0,0,0,0,0.0489822147537087,0,0.0164741553778689,0,0,0,0,0.0802399641535561,0.0351233232987676,0,0,0,NaN,0.0529117603925465,0,0.0164741553778689,0.0681046026218512,0
2016-05-25,0,0,0,0,0,NaN,0.00515019116128411,NaN,0,0,0.00841212969287473,NaN,0.00858767608282351,0.0248455013414414,0.0147562197000433,0,0.0467575188442802,0.0480765212940887,0.0169323483539997,0,0,0.0830228771919429,0,0.0816147929517411,0.00876264501754078,0,0,0,0.0332717550269156,0,0.06244167192889,0,0.0252836006534899,0.141784957482594,0.0699385686067242,0,0.0301155227261014,0.155462100580898,0,0,0.0409167985160784,0.0141517155244169,0,NaN,0,0,0.0207993412665892,0.0589155460552423,0
2016-05-26,0,0,0,0.041812375683288,0,NaN,0,NaN,0.0645059838859191,0.0488686532274186,0.0604772120625746,NaN,0,0.0419519183619932,0,0.00804304743636858,0.0171709081304753,0.00804304743636858,0.00804304743636858,0.0399108018596748,0.0443927562470045,0,0,0,0,0.0252462901281953,0.109794393160672,0,0.00804304743636858,0,0.0432617030758593,0.00804304743636858,0,0,0,0.0421870700327679,0.0348423510418592,0.144354455476256,0,0,0,0,0.0645578323124099,NaN,0.0606452702825292,0,0.0758047878492606,0,0
2016-05-27,0,0,0.0339313917154577,0.0478932138483245,0,NaN,0.0211527748480877,NaN,0.0585186556822286,0,0,NaN,0,0,0,0,0.0284049251573028,0,0,0,0.0211527748480877,0,0,0.125119601681002,0.0211527748480877,0.0346619779188936,0.0211527748480877,0.0435208529102467,0.0470926019022082,0,0.0768095343946162,0,0.0211527748480877,0,0.0391276757528089,0,0.0296858368008895,0.12963235209445,0.0211527748480877,0.0354653886742038,0.0211527748480877,0,0.0390287767106928,NaN,0,0.0830377908200616,0,0,0
