date,signal_I1,HSI_I1,HSCEI_I1,signal_I2,NKY_I2,TPX_I2,signal_I3,TAMSCI_I3,TWSE_I3
2005-08-29,0,-0,0,1,-1258.66923055785,1258.64,-1,6049.3296489502,-6049.44
2005-08-30,0,-0,0,-1,1273.58411113694,-1273.6,-1,6032.00944210498,-6032.12
2005-08-31,0,-0,0,-1,1271.18912664967,-1271.29,1,-6033.36536818262,6033.47
2005-09-01,0,-0,0,1,-1277.52434803013,1277.33,0,-0,0
2005-09-02,0,-0,0,1,-1283.02757505886,1282.79,-1,6115.94124058327,-6116.05
2005-09-05,0,-0,0,-1,1290.33777041526,-1290.56,-1,6098.67180109771,-6098.78
2005-09-06,0,-0,0,1,-1286.3139863212,1286.29,1,-6140.03316663762,6140.14
2005-09-07,0,-0,0,1,-1285.61119322828,1285.52,-1,6141.03168353656,-6141.14
2005-09-08,0,-0,0,-1,1278.85441526819,-1278.9,1,-6149.77292697694,6149.88
2005-09-09,0,-0,0,1,-1293.44075934414,1293.35,-1,6118.95138662685,-6119.06
2005-09-12,0,-0,0,1,-1310.0402247955,1309.8,1,-6164.87473267597,6164.98
2005-09-13,0,-0,0,-1,1315.48252007452,-1315.76,1,-6168.97347588488,6169.08
2005-09-14,0,-0,0,-1,1312.14518069259,-1312.35,1,-6148.59302060956,6148.7
2005-09-15,0,-0,0,1,-1327.3138579298,1327.29,-1,6082.45141721272,-6082.56
2005-09-16,0,-0,0,-1,1328.60524455838,-1328.84,0,-0,0
2005-09-19,0,-0,0,-1,1328.82746354614,-1328.84,1,-6035.48347104445,6035.59
2005-09-20,0,-0,0,-1,1352.31037049235,-1352.53,0,-0,0
2005-09-21,0,-0,0,-1,1357.68609299959,-1357.71,0,-0,0
2005-09-22,0,-0,0,-1,1356.09734567999,-1356.22,-1,5971.94661659391,-5972.06
2005-09-23,0,-0,0,0,-0,0,-1,5925.42932532499,-5925.54
2005-09-26,0,-0,0,-1,1386.17694188847,-1386.49,-1,5930.08956881446,-5930.2
2005-09-27,0,-0,0,1,-1376.7472404119,1376.7,1,-5944.94190707127,5945.05
2005-09-28,0,-0,0,-1,1400.88540288419,-1401.47,-1,5931.26837099458,-5931.38
2005-09-29,1,-5218.20992757235,5218.21,-1,1427.72361444582,-1428.13,1,-6009.88023632045,6009.99
2005-09-30,0,-0,0,1,-1412.81709096426,1412.28,1,-6118.50167120478,6118.61
2005-10-03,0,-0,0,-1,1411.10383565512,-1411.28,-1,6123.80790107114,-6123.92
2005-10-04,0,-0,0,1,-1422.38400426273,1421.83,1,-6142.01064470705,6142.12
2005-10-05,0,-0,0,1,-1410.0396123765,1409.67,1,-6134.89950002305,6135.01
2005-10-06,0,-0,0,1,-1371.60492839133,1371.37,-1,6095.69679721285,-6095.81
2005-10-07,0,-0,0,-1,1371.77654333417,-1372.52,0,-0,0
2005-10-10,0,-0,0,-1,1372.48175884073,-1372.52,0,-0,0
2005-10-11,0,-0,0,1,-1406.02066498481,1405.99,0,-0,0
2005-10-12,0,-0,0,-1,1406.36611613892,-1406.89,-1,5987.28475326843,-5987.4
2005-10-13,0,-0,0,-1,1407.64333254213,-1407.79,-1,5959.9959015134,-5960.11
2005-10-14,-1,4941.78000397125,-4941.78,1,-1398.26618618756,1397.93,-1,5968.95502420463,-5969.07
2005-10-17,0,-0,0,1,-1393.55747060428,1393.42,1,-5826.15813971315,5826.27
2005-10-18,0,-0,0,-1,1392.48112797011,-1392.69,-1,5830.6764364604,-5830.79
2005-10-19,0,-0,0,-1,1379.23035231589,-1379.78,-1,5694.0440851898,-5694.16
2005-10-20,0,-0,0,1,-1384.03705382589,1383.95,1,-5747.88926583056,5748
2005-10-21,-1,4877.5100068124,-4877.51,-1,1385.35258614823,-1385.37,-1,5738.64155290625,-5738.76
2005-10-24,0,-0,0,-1,1376.44825907687,-1376.5,1,-5717.16619590494,5717.28
2005-10-25,0,-0,0,1,-1393.66906308098,1393.61,1,-5721.19706422698,5721.31
2005-10-26,-1,4800.84000034092,-4800.84,-1,1407.59823328569,-1407.7,1,-5700.60840207186,5700.72
2005-10-27,0,-0,0,-1,1423.14222928618,-1423.84,-1,5661.06319384358,-5661.18
2005-10-28,0,-0,0,-1,1419.62838106172,-1419.84,-1,5632.85294217316,-5632.97
2005-10-31,0,-0,0,1,-1444.85435329857,1444.73,1,-5764.18582266437,5764.3
2005-11-01,1,-4878.42995704999,4878.43,-1,1473.00056483128,-1473.02,1,-5798.29393023522,5798.41
2005-11-02,0,-0,0,1,-1474.32570501129,1474.25,1,-5870.25541950334,5870.37
2005-11-03,0,-0,0,0,-0,0,1,-5857.89420368335,5858.01
2005-11-04,0,-0,0,-1,1494.92055785364,-1494.99,1,-5911.62543453583,5911.74
2005-11-07,0,-0,0,-1,1498.85649116471,-1499.12,1,-5860.27297837428,5860.39
