,indexID,ticker,porgFullName,secShortName,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
730,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-09,5200.552,5176.268,5167.338,5356.482,5356.482,3482378500,53189256553.0,155.93,0.029983
731,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-10,5356.482,5372.82,5354.858,5438.308,5382.326,4084967800,62964595469.0,25.844,0.004825
732,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-11,5382.326,5385.905,5290.708,5392.266,5376.797,3494823500,53937951638.0,-5.529,-0.001027
733,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-14,5376.797,5382.734,5368.484,5450.887,5445.102,3385086900,53364316502.0,68.305,0.012704
734,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-15,5445.102,5451.637,5418.116,5495.386,5487.088,3688040400,56818805065.0,41.986,0.007711
735,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-16,5487.088,5461.878,5389.152,5463.2,5412.911,3905999000,58914563719.0,-74.177,-0.013518
736,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-17,5412.911,5380.823,5106.918,5467.134,5270.956,4293508800,65264969756.0,-141.955,-0.026225
737,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-18,5270.956,5268.895,5210.359,5320.454,5317.448,3123822800,44924736394.0,46.492,0.00882
738,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-21,5317.448,5331.667,5078.503,5343.869,5097.226,3546297200,51894882654.0,-220.222,-0.041415
739,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-22,5097.226,4976.79,4639.959,4976.79,4661.826,4037446100,56449829459.0,-435.4,-0.085419
740,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-23,4661.826,4662.708,4624.944,4912.48,4912.058,3819475700,53676695806.0,250.232,0.053677
741,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-24,4912.058,4951.376,4915.97,5116.489,5080.926,4278003600,62469663153.0,168.868,0.034378
742,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-25,5080.926,5081.314,5054.083,5146.858,5096.69,3890438300,55478464938.0,15.764,0.003103
743,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-28,5096.69,5073.628,4712.613,5073.628,4740.501,3453456700,46942144532.0,-356.189,-0.069886
744,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-29,4740.501,4757.19,4720.681,4888.785,4840.636,2374443300,32685553624.0,100.135,0.021123
745,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-30,4840.636,4878.399,4725.387,4950.181,4851.426,2490447600,35532424368.0,10.79,0.002229
746,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-01-31,4851.426,4839.403,4661.594,4868.31,4663.415,1856793500,25737686732.0,-188.011,-0.038754
747,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-01,4663.415,4653.538,4308.52,4686.604,4456.927,2251366300,29182544124.0,-206.488,-0.044278
748,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-04,4456.927,4570.111,4570.111,4821.075,4820.387,2130505300,30008462373.0,363.46,0.081549
749,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-05,4820.387,4818.542,4751.225,4889.378,4838.995,2077392100,30045273307.0,18.608,0.00386
750,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-13,4838.995,4798.568,4749.147,4884.685,4813.581,1558704000,22130228358.0,-25.414,-0.005252
751,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-14,4813.581,4842.943,4842.943,4929.771,4910.358,1611346900,22682971588.0,96.777,0.020105
752,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-15,4910.358,4884.365,4800.644,4886.055,4886.016,1916278000,27277910131.0,-24.342,-0.004957
753,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-18,4886.016,4953.026,4946.511,5072.113,5043.144,2892275400,43434994092.0,157.128,0.032159
754,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-19,5043.144,5054.611,5026.558,5137.84,5133.361,2882332500,44280440446.0,90.217,0.017889
755,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-20,5133.361,5152.281,5079.772,5171.179,5089.439,3147715100,47223512821.0,-43.922,-0.008556
756,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-21,5089.439,5068.026,5022.654,5184.148,5153.601,3155457900,45714615643.0,64.162,0.012607
757,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-22,5153.601,5140.122,4938.73,5151.292,5029.198,3119916600,44996819988.0,-124.403,-0.024139
758,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-25,5029.198,5038.627,4856.477,5068.982,4869.654,2673558900,38440954693.0,-159.544,-0.031724
759,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-26,4869.654,4974.708,4729.85,5021.597,4868.814,2528759500,36175484479.0,-0.84,-0.000172
760,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-27,4868.814,4880.163,4854.154,4977.335,4977.335,2377489800,33616741929.0,108.521,0.022289
761,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-28,4977.335,4986.443,4935.303,5045.109,4989.412,2411761400,34217372279.0,12.077,0.002426
762,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-02-29,4989.412,4984.396,4976.147,5058.121,5057.617,2539468800,35684360370.0,68.205,0.01367
763,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-03,5057.617,5044.941,5014.283,5227.791,5227.732,3742256100,54849829396.0,170.115,0.033635
764,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-04,5227.732,5246.414,5177.736,5279.213,5192.593,4316811500,61366987342.0,-35.139,-0.006722
765,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-05,5192.593,5171.783,5068.2,5218.301,5214.238,3857930000,54154742008.0,21.645,0.004168
766,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-06,5214.238,5229.782,5220.365,5296.263,5223.82,4475802000,61389838208.0,9.582,0.001838
767,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-07,5223.82,5194.659,5104.916,5208.895,5115.916,2995378400,41394179445.0,-107.904,-0.020656
768,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-10,5115.916,5081.271,4915.44,5084.396,4948.353,2385787900,32774405284.0,-167.563,-0.032753
769,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-11,4948.353,4906.144,4841.557,5015.932,5015.932,2043951000,28767618665.0,67.579,0.013657
770,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-12,5015.932,5095.972,4880.702,5122.536,4881.03,2253938100,31739197667.0,-134.902,-0.026895
771,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-13,4881.03,4829.236,4589.508,4844.177,4688.679,2592477800,34594935451.0,-192.351,-0.039408
772,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-14,4688.679,4665.829,4598.154,4718.18,4662.316,1657934500,22264909248.0,-26.363,-0.005623
773,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-17,4662.316,4641.921,4299.559,4642.73,4302.614,2111284700,27260819501.0,-359.702,-0.077151
774,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-18,4302.614,4237.304,3926.459,4327.38,3986.319,2433098000,28577476932.0,-316.295,-0.073512
775,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-19,3986.319,4064.996,3989.636,4241.942,4176.486,2551731000,31128103139.0,190.167,0.047705
776,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-20,4176.486,4112.704,3956.033,4394.755,4347.743,2842838600,35722120781.0,171.257,0.041005
777,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-21,4347.743,4347.273,4315.675,4448.064,4405.856,2571735900,34123921587.0,58.113,0.013366
778,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-24,4405.856,4459.507,4312.767,4489.459,4314.581,2575754800,34855059111.0,-91.275,-0.020717
779,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-25,4314.581,4233.951,4190.543,4386.836,4367.341,2238657400,28768189613.0,52.76,0.012228
780,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-26,4367.341,4383.73,4317.058,4446.535,4352.053,1945963700,25137371148.0,-15.288,-0.003501
781,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-27,4352.053,4298.387,4115.523,4298.387,4119.785,2174819800,26990109933.0,-232.268,-0.05337
782,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-28,4119.785,4072.038,3948.846,4248.399,4241.452,2307619900,28526388848.0,121.667,0.029532
783,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-03-31,4241.452,4129.928,4042.621,4200.763,4044.098,1905310500,23065525838.0,-197.354,-0.04653
784,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-04-01,4044.098,4024.439,3695.508,4070.115,3704.273,2275357500,25402355873.0,-339.825,-0.08403
785,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-04-02,3704.273,3725.188,3464.406,3778.573,3500.522,2307609000,24668683684.0,-203.751,-0.055004
786,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-04-03,3500.522,3469.785,3392.082,3631.552,3588.762,1893883900,19956525481.0,88.24,0.025208
787,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-04-07,3588.762,3544.31,3506.785,3825.849,3822.371,2185472800,24253262819.0,233.609,0.065095
788,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-04-08,3822.371,3832.917,3806.286,3941.242,3908.802,2515005700,29602243565.0,86.431,0.022612
789,000905.ZICN,000905,中证指数有限公司,中证500,XSHG,2008-04-09,3908.802,3887.992,3694.962,3960.767,3695.306,2432022100,28265407476.0,-213.496,-0.054619
