,tradeDate,ticker,closePrice,sig,sig_true,sig_y,ac,preClosePrice,pct,rep,mID
28,2020-09-18,600054,44.303,1.0,1.0,0.0,b,49.645,0.0,"2020-09-18,600054,b,44.303,建仓",MBI 0.2
29,2020-09-25,600054,40.844,0.0,0.0,1.0,s,44.303,-0.07807597679615363,"2020-09-25,600054,s,40.844,平仓,-7.8076%",MBI 0.2
30,2021-02-19,600054,46.166,1.0,1.0,0.0,b,40.844,0.0,"2021-02-19,600054,b,46.166,建仓",MBI 0.2
31,2021-03-19,600054,49.847,0.0,0.0,1.0,s,46.166,0.0797340033791103,"2021-03-19,600054,s,49.847,平仓,7.9734%",MBI 0.2
32,2021-03-26,600054,51.221,1.0,1.0,0.0,b,49.847,0.0,"2021-03-26,600054,b,51.221,建仓",MBI 0.2
33,2021-04-02,600054,48.25,0.0,0.0,1.0,s,51.221,-0.05800355323012041,"2021-04-02,600054,s,48.25,平仓,-5.8004%",MBI 0.2
34,2021-04-16,600054,49.98,1.0,1.0,0.0,b,48.25,0.0,"2021-04-16,600054,b,49.98,建仓",MBI 0.2
35,2021-04-23,600054,48.516,0.0,0.0,1.0,s,49.98,-0.02929171668667463,"2021-04-23,600054,s,48.516,平仓,-2.9292%",MBI 0.2
0,2011-04-01,600056,85.46,1.0,1.0,0.0,b,,0.0,"2011-04-01,600056,b,85.46,建仓",MBI 0.2
1,2011-04-22,600056,101.47,0.0,0.0,1.0,s,85.46,0.18733910601450976,"2011-04-22,600056,s,101.47,平仓,18.7339%",MBI 0.2
2,2011-05-06,600056,101.594,1.0,1.0,0.0,b,101.47,0.0,"2011-05-06,600056,b,101.594,建仓",MBI 0.2
3,2011-05-13,600056,99.077,0.0,0.0,1.0,s,101.594,-0.02477508514282334,"2011-05-13,600056,s,99.077,平仓,-2.4775%",MBI 0.2
4,2011-07-15,600056,113.937,1.0,1.0,0.0,b,99.077,0.0,"2011-07-15,600056,b,113.937,建仓",MBI 0.2
5,2011-07-29,600056,114.019,0.0,0.0,1.0,s,113.937,0.0007196959723356766,"2011-07-29,600056,s,114.019,平仓,0.0720%",MBI 0.2
6,2011-10-28,600056,83.333,1.0,1.0,0.0,b,114.019,0.0,"2011-10-28,600056,b,83.333,建仓",MBI 0.2
7,2011-11-04,600056,88.751,0.0,0.0,1.0,s,83.333,0.06501626006504035,"2011-11-04,600056,s,88.751,平仓,6.5016%",MBI 0.2
8,2013-01-18,600056,93.718,1.0,1.0,0.0,b,88.751,0.0,"2013-01-18,600056,b,93.718,建仓",MBI 0.2
9,2013-01-25,600056,89.398,0.0,0.0,1.0,s,93.718,-0.046095734010542344,"2013-01-25,600056,s,89.398,平仓,-4.6096%",MBI 0.2
10,2013-02-01,600056,92.015,1.0,1.0,0.0,b,89.398,0.0,"2013-02-01,600056,b,92.015,建仓",MBI 0.2
11,2013-03-08,600056,90.644,0.0,0.0,1.0,s,92.015,-0.014899744606857501,"2013-03-08,600056,s,90.644,平仓,-1.4900%",MBI 0.2
12,2014-08-01,600056,111.575,1.0,1.0,0.0,b,90.644,0.0,"2014-08-01,600056,b,111.575,建仓",MBI 0.2
13,2014-08-08,600056,107.633,0.0,0.0,1.0,s,111.575,-0.035330495182612665,"2014-08-08,600056,s,107.633,平仓,-3.5330%",MBI 0.2
14,2014-10-10,600056,120.573,1.0,1.0,0.0,b,107.633,0.0,"2014-10-10,600056,b,120.573,建仓",MBI 0.2
15,2014-10-17,600056,116.631,0.0,0.0,1.0,s,120.573,-0.03269388669105022,"2014-10-17,600056,s,116.631,平仓,-3.2694%",MBI 0.2
16,2014-12-05,600056,136.427,1.0,1.0,0.0,b,116.631,0.0,"2014-12-05,600056,b,136.427,建仓",MBI 0.2
17,2014-12-12,600056,134.028,0.0,0.0,1.0,s,136.427,-0.0175844957376472,"2014-12-12,600056,s,134.028,平仓,-1.7584%",MBI 0.2
18,2014-12-19,600056,139.084,1.0,1.0,0.0,b,134.028,0.0,"2014-12-19,600056,b,139.084,建仓",MBI 0.2
19,2014-12-26,600056,135.484,0.0,0.0,1.0,s,139.084,-0.02588363866440424,"2014-12-26,600056,s,135.484,平仓,-2.5884%",MBI 0.2
20,2014-12-31,600056,140.626,1.0,1.0,0.0,b,135.484,0.0,"2014-12-31,600056,b,140.626,建仓",MBI 0.2
21,2015-01-16,600056,150.481,0.0,0.0,1.0,s,140.626,0.07007950165687693,"2015-01-16,600056,s,150.481,平仓,7.0080%",MBI 0.2
22,2015-04-30,600056,176.961,1.0,1.0,0.0,b,150.481,0.0,"2015-04-30,600056,b,176.961,建仓",MBI 0.2
