,indexID,ticker,secShortName,endDate,tradeDays,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,chg,chgPct,avgPrice,mAvgReyurn,yReturn
119,000906.ZICN,000906,中证800,2011-07-29,21,3308.537,3316.849,3447.257,3237.318,3259.544,200678574500,2.51612445068e+12,-48.993,-0.0148,3362.838,-0.000643,-0.011115
120,000906.ZICN,000906,中证800,2011-06-30,21,3248.9,3243.584,3320.662,3100.826,3308.537,161847138500,1.91374416651e+12,59.637,0.0184,3228.511,0.000941,0.01649
121,000906.ZICN,000906,中证800,2011-05-31,21,3476.505,3476.602,3507.471,3184.039,3248.9,173962518200,2.08881038166e+12,-227.605,-0.0655,3376.605,-0.003155,-0.053439
122,000906.ZICN,000906,中证800,2011-04-29,19,3531.879,3535.194,3688.51,3422.495,3476.505,240019399400,3.02086943659e+12,-55.374,-0.0157,3603.838,-0.000781,-0.014898
123,000906.ZICN,000906,中证800,2011-03-31,23,3562.813,3565.39,3671.179,3475.091,3531.879,306186456000,4.18603464969e+12,-30.934,-0.0087,3583.259,-0.000327,-0.005176
124,000906.ZICN,000906,中证800,2011-02-28,15,3340.507,3346.406,3578.657,3297.246,3562.813,186144529000,2.51296585422e+12,222.306,0.0665,3478.398,0.004394,0.112585
125,000906.ZICN,000906,中证800,2011-01-31,20,3443.576,3470.682,3525.884,3157.078,3340.507,181926448700,2.37538448314e+12,-103.069,-0.0299,3341.287,-0.001382,-0.024923
126,000906.ZICN,000906,中证800,2010-12-31,23,3483.432,3471.763,3631.455,3321.747,3443.576,227002721200,3.16500598438e+12,-39.856,-0.0114,3500.293,-0.000414,-0.006555
127,000906.ZICN,000906,中证800,2010-11-30,22,3668.157,3679.792,3910.291,3390.897,3483.432,390162744300,5.49509063895e+12,-184.725,-0.0504,3640.277,-0.002115,-0.034524
128,000906.ZICN,000906,中证800,2010-10-29,16,3237.02,3267.916,3762.827,3265.392,3668.157,342771418900,4.56660923e+12,431.137,0.1332,3579.008,0.007946,0.197868
129,000906.ZICN,000906,中证800,2010-09-30,19,3197.548,3202.258,3304.837,3127.775,3237.02,226166667400,2.78961746405e+12,39.472,0.0123,3219.63,0.000713,0.013779
130,000906.ZICN,000906,中证800,2010-08-31,22,3094.547,3094.382,3236.682,3042.934,3197.548,264666736700,2.97811286336e+12,103.001,0.0333,3143.771,0.001594,0.026771
131,000906.ZICN,000906,中证800,2010-07-30,22,2749.508,2744.146,3110.691,2624.321,3094.547,202408369800,2.09095206248e+12,345.039,0.1255,2886.46,0.005474,0.094793
132,000906.ZICN,000906,中证800,2010-06-30,19,3001.618,2978.646,3035.917,2728.24,2749.508,138106980400,1.56175091054e+12,-252.11,-0.084,2953.729,-0.004463,-0.082343
133,000906.ZICN,000906,中证800,2010-05-31,20,3300.621,3234.863,3300.376,2836.964,3001.618,185265421100,2.22224565673e+12,-299.003,-0.0906,3064.694,-0.00448,-0.078676
134,000906.ZICN,000906,中证800,2010-04-30,21,3583.713,3587.158,3680.602,3241.238,3300.621,249143819300,3.36072715495e+12,-283.092,-0.079,3537.306,-0.003805,-0.064117
135,000906.ZICN,000906,中证800,2010-03-31,23,3509.384,3516.292,3603.556,3379.708,3583.713,224318152700,2.82548921204e+12,74.329,0.0212,3511.637,0.000981,0.015687
136,000906.ZICN,000906,中证800,2010-02-26,15,3397.604,3391.308,3529.191,3269.156,3509.384,130991826000,1.63995916722e+12,111.78,0.0329,3409.817,0.002227,0.05563
137,000906.ZICN,000906,中证800,2010-01-29,20,3715.359,3733.302,3745.866,3347.555,3397.604,259251635900,3.4541152589e+12,-317.755,-0.0855,3602.104,-0.004355,-0.076563
138,000906.ZICN,000906,中证800,2009-12-31,23,3648.95,3645.725,3810.954,3423.577,3715.359,285488451000,3.68674485060e+12,66.409,0.0182,3665.877,0.00089,0.014218
139,000906.ZICN,000906,中证800,2009-11-30,21,3354.485,3280.948,3836.915,3271.89,3648.95,364372974200,4.52717079182e+12,294.465,0.0878,3640.474,0.004211,0.07577
140,000906.ZICN,000906,中证800,2009-10-30,16,3052.787,3122.59,3498.209,3116.509,3354.485,192351239500,2.38039974164e+12,301.698,0.0988,3352.482,0.006071,0.148069
141,000906.ZICN,000906,中证800,2009-09-30,22,2889.589,2862.36,3406.766,2848.721,3052.787,277851518900,3.30378328049e+12,163.198,0.0565,3177.05,0.002696,0.045688
142,000906.ZICN,000906,中证800,2009-08-31,21,3737.842,3756.603,3812.938,2885.748,2889.589,319085558700,3.96276540619e+12,-848.253,-0.2269,3368.337,-0.011734,-0.185475
143,000906.ZICN,000906,中证800,2009-07-31,23,3192.186,3180.712,3777.972,3178.03,3737.842,462148612700,5.62959311905e+12,545.656,0.1709,3522.442,0.007033,0.117634
144,000906.ZICN,000906,中证800,2009-06-30,22,2834.189,2870.323,3221.503,2870.323,3192.186,331711242200,3.6074064828e+12,357.997,0.1263,3057.939,0.005484,0.094973
145,000906.ZICN,000906,中证800,2009-05-27,18,2688.256,2699.952,2917.621,2698.511,2834.189,279987557100,2.8550198688e+12,145.933,0.0543,2837.733,0.00304,0.063485
146,000906.ZICN,000906,中证800,2009-04-30,21,2563.165,2574.796,2789.133,2508.626,2688.256,354757600800,3.49028956002e+12,125.091,0.0488,2660.518,0.002459,0.043604
